,winner,pilot,action,index,average_action_per_15min,average_action_per_1min,average_action_per_30min,strain
0,1.1,2,ag,7,0.25925925925925924,0.01728395061728395,0.5185185185185185,C57
1,1.1,2,as,4,0.14814814814814814,0.009876543209876543,0.2962962962962963,C57
2,1.1,2,c,1,0.037037037037037035,0.0024691358024691358,0.07407407407407407,C57
3,1.1,2,f,1,0.037037037037037035,0.0024691358024691358,0.07407407407407407,C57
4,1.1,2,fs,23,0.8518518518518519,0.056790123456790124,1.7037037037037037,C57
5,1.2,2,ag,2,0.06896551724137931,0.004597701149425287,0.13793103448275862,C57
6,1.2,2,as,9,0.3103448275862069,0.020689655172413793,0.6206896551724138,C57
7,1.2,2,c,13,0.4482758620689655,0.029885057471264367,0.896551724137931,C57
8,1.2,2,f,13,0.4482758620689655,0.029885057471264367,0.896551724137931,C57
9,1.2,2,fs,37,1.2758620689655173,0.08505747126436783,2.5517241379310347,C57
10,1.3,2,ag,22,0.7096774193548387,0.04731182795698925,1.4193548387096775,C57
11,1.3,2,as,6,0.1935483870967742,0.012903225806451613,0.3870967741935484,C57
12,1.3,2,f,1,0.03225806451612903,0.002150537634408602,0.06451612903225806,C57
13,1.3,2,fs,25,0.8064516129032258,0.05376344086021505,1.6129032258064515,C57
14,1.4,2,ag,7,0.22580645161290322,0.015053763440860214,0.45161290322580644,C57
15,1.4,2,as,6,0.1935483870967742,0.012903225806451613,0.3870967741935484,C57
16,1.4,2,c,1,0.03225806451612903,0.002150537634408602,0.06451612903225806,C57
17,1.4,2,f,2,0.06451612903225806,0.004301075268817204,0.12903225806451613,C57
18,1.4,2,fs,20,0.6451612903225806,0.04301075268817204,1.2903225806451613,C57
19,2.1,2,ag,2,0.06451612903225806,0.004301075268817204,0.12903225806451613,C57
20,2.1,2,as,7,0.22580645161290322,0.015053763440860214,0.45161290322580644,C57
21,2.1,2,c,1,0.03225806451612903,0.002150537634408602,0.06451612903225806,C57
22,2.1,2,f,1,0.03225806451612903,0.002150537634408602,0.06451612903225806,C57
23,2.1,2,fs,24,0.7741935483870968,0.05161290322580645,1.5483870967741935,C57
24,2.1,3,c,13,1.0833333333333333,0.07222222222222222,2.1666666666666665,C57
25,2.1,3,f,12,1.0,0.06666666666666667,2.0,C57
26,2.2,2,ag,7,0.22580645161290322,0.015053763440860214,0.45161290322580644,C57
27,2.2,2,as,26,0.8387096774193549,0.05591397849462366,1.6774193548387097,C57
28,2.2,2,c,3,0.0967741935483871,0.0064516129032258064,0.1935483870967742,C57
29,2.2,2,f,2,0.06451612903225806,0.004301075268817204,0.12903225806451613,C57
30,2.2,2,fs,36,1.1612903225806452,0.07741935483870968,2.3225806451612905,C57
31,2.3,2,ag,3,0.10344827586206896,0.006896551724137931,0.20689655172413793,C57
32,2.3,2,as,48,1.6551724137931034,0.1103448275862069,3.310344827586207,C57
33,2.3,2,b,2,0.06896551724137931,0.004597701149425287,0.13793103448275862,C57
34,2.3,2,c,43,1.4827586206896552,0.09885057471264368,2.9655172413793105,C57
35,2.3,2,f,31,1.0689655172413792,0.07126436781609195,2.1379310344827585,C57
36,2.3,2,fs,41,1.4137931034482758,0.09425287356321839,2.8275862068965516,C57
37,2.3,2,m,1,0.034482758620689655,0.0022988505747126436,0.06896551724137931,C57
38,2.3,3,c,3,0.25,0.016666666666666666,0.5,C57
39,2.4,2,ag,5,0.15151515151515152,0.010101010101010102,0.30303030303030304,C57
40,2.4,2,as,13,0.3939393939393939,0.026262626262626262,0.7878787878787878,C57
41,2.4,2,f,3,0.09090909090909091,0.006060606060606061,0.18181818181818182,C57
42,2.4,2,fs,26,0.7878787878787878,0.052525252525252523,1.5757575757575757,C57
43,2.4,3,c,2,0.16666666666666666,0.01111111111111111,0.3333333333333333,C57
