,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,trial_20_winner,sheet_name,animal_ids,cohort,strain
0,2022-05-19,1,1.0,1.1 v 1.2,,1.1,1.1,1.1,1.1,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.1,1.1,Master Master,"('1.1', '1.2')",pilot_1,C57
1,2022-05-19,1,2.0,1.3 v 1.4,,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,Master Master,"('1.3', '1.4')",pilot_1,C57
2,2022-05-19,1,3.0,1.1 v 1.3,,1.3,tie,1.3,1.1,1.1,1.3,1.3,tie,1.3,1.1,1.3,1.3,1.1,1.3,1.3,1.3,1.3,1.3,1.3,,Master Master,"('1.1', '1.3')",pilot_1,C57
3,2022-05-19,1,4.0,1.2 v 1.4,,1.4,1.2,1.2,1.2,1.4,1.4,1.2,1.2,1.4,1.2,1.2,1.4,1.2,1.2,1.4,1.2,1.2,1.4,1.4,1.4,Master Master,"('1.2', '1.4')",pilot_1,C57
4,2022-05-19,1,2.0,1.2 v 1.3,,1.2,1.3,1.3,1.3,1.2,1.3,1.3,1.3,1.2,1.2,1.3,tie,1.2,1.3,1.2,1.2,1.3,1.2,1.2,1.2,Master Master,"('1.2', '1.3')",pilot_1,C57
5,2022-05-19,1,1.0,1.1 v 1.4,,1.4,1.1,1.4,1.4,1.1,1.4,1.1,1.4,1.4,1.4,1.1,1.1,1.1,1.4,1.4,1.4,1.4,1.4,1.4,1.1,Master Master,"('1.1', '1.4')",pilot_1,C57
6,2022-05-20,1,4.0,1.1 v 1.4,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.4,1.1,1.1,1.1,1.1,1.1,1.1,Tie,1.4,NO TRIAL,Master Master,"('1.1', '1.4')",pilot_1,C57
7,2022-05-20,1,3.0,1.2 v 1.3,,1.2,1.2,1.2,1.2,tie,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.3,,Master Master,"('1.2', '1.3')",pilot_1,C57
8,2022-05-20,1,2.0,1.1 v 1.3,,1.1,tie,1.3,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,tie,1.1,1.3,1.3,1.1,1.1,1.1,1.1,1.1,Master Master,"('1.1', '1.3')",pilot_1,C57
9,2022-05-20,1,1.0,1.2 v 1.4,,1.2,1.4,1.4,1.4,1.2,1.2,1.4,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,,Master Master,"('1.2', '1.4')",pilot_1,C57
10,2022-05-20,1,4.0,1.1 v 1.2,,1.1,Tie,1.2,Tie,1.2,Tie,1.1,Tie,1.1,Tie,Tie,1.1,1.2,1.2,Tie,Tie,Tie,1.1,Tie,NO TRIAL,Master Master,"('1.1', '1.2')",pilot_1,C57
11,2022-05-20,1,3.0,1.3 v 1.4,,1.4,1.3,1.4,1.4,1.4,1.3,1.4,1.3,1.3,1.3,1.4,1.3,1.4,tie,1.4,1.3,1.4,1.4,1.4,1.3,Master Master,"('1.3', '1.4')",pilot_1,C57
12,2022-05-19,2,3.0,2.1 v 2.2,,2.1,2.1,2.2,2.1,2.1,tie,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.1,Master Master,"('2.1', '2.2')",pilot_1,C57
13,2022-05-19,2,4.0,2.3 v 2.4,,2.3,2.3,2.3,2.3,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.4,2.3,2.4,2.3,2.3,2.4,2.4,2.3,2.3,Master Master,"('2.3', '2.4')",pilot_1,C57
14,2022-05-19,2,1.0,2.1 v 2.3,,2.3,2.3,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.1,2.3,2.3,2.1,2.3,2.1,2.1,2.3,,Master Master,"('2.1', '2.3')",pilot_1,C57
15,2022-05-19,2,2.0,2.2 v 2.4,,2.4,2.4,2.2,2.4,2.2,2.4,2.4,2.2,2.2,2.2,2.4,2.2,2.2,2.4,2.4,2.4,2.4,2.2,2.2,2.2,Master Master,"('2.2', '2.4')",pilot_1,C57
16,2022-05-19,2,3.0,2.1 v 2.4,,2.1,2.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.4,2.1,2.1,2.1,2.4,2.1,2.1,2.1,2.1,Master Master,"('2.1', '2.4')",pilot_1,C57
17,2022-05-19,2,4.0,2.2 v 2.3,,2.2,2.3,2.2,2.3,2.2,2.3,tie,2.2,2.3,tie,2.2,2.2,2.3,2.3,2.3,2.3,2.3,tie,2.3,2.2,Master Master,"('2.2', '2.3')",pilot_1,C57
18,2022-05-20,2,2.0,2.1 v 2.4,,2.1,2.4,2.1,2.4,2.4,2.1,2.4,tie,2.1,tie,tie,2.1,2.1,tie,tie,2.1,2.1,2.1,2.1,2.1,Master Master,"('2.1', '2.4')",pilot_1,C57
19,2022-05-20,2,1.0,2.2 v 2.3,,2.3,2.2,2.3,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.3,2.3,2.3,2.3,Master Master,"('2.2', '2.3')",pilot_1,C57
20,2022-05-20,2,4.0,2.1 v 2.3,,2.3,tie,2.1,2.3,tie,tie,tie,2.1,tie,tie,2.3,tie,2.3,2.1,2.1,2.1,tie,tie,tie,2.1,Master Master,"('2.1', '2.3')",pilot_1,C57
21,2022-05-20,2,3.0,2.2 v 2.4,,2.4,2.4,2.2,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.2,2.4,Tie,2.4,2.2,Tie,Tie,2.4,Tie,2.4,Master Master,"('2.2', '2.4')",pilot_1,C57
22,2022-05-20,2,2.0,2.1 v 2.2,,2.1,2.2,2.2,2.2,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.2,2.1,tie,tie,2.1,Master Master,"('2.1', '2.2')",pilot_1,C57
23,2022-05-20,2,1.0,2.3 v 2.4,,2.3,2.3,2.4,2.4,tie,2.4,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.3,2.4,2.4,2.4,2.4,2.4,Master Master,"('2.3', '2.4')",pilot_1,C57
24,2022-05-19,3,1.0,3.1 v 3.2,,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,Master Master,"('3.1', '3.2')",pilot_1,CD1
25,2022-05-19,3,2.0,3.3 v 3.4,,3.3,3.4,3.4,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.3,3.3,3.4,3.3,3.3,Master Master,"('3.3', '3.4')",pilot_1,CD1
26,2022-05-19,3,3.0,3.1 v 3.3,,3.3,3.1,3.1,3.3,3.1,3.3,3.1,3.1,3.1,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.3,,Master Master,"('3.1', '3.3')",pilot_1,CD1
27,2022-05-19,3,4.0,3.2 v 3.4,,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,tie,3.4,3.2,3.2,,Master Master,"('3.2', '3.4')",pilot_1,CD1
28,2022-05-19,3,1.0,3.1 v 3.4,,3.4,3.4,3.1,Tie,3.1,3.4,3.1,3.1,3.1,3.4,3.1,3.4,3.1,3.1,3.1,3.1,3.4,3.1,3.1,NO TRIAL,Master Master,"('3.1', '3.4')",pilot_1,CD1
29,2022-05-19,3,2.0,3.2 v 3.3,,tie,3.2,3.2,3.2,3.2,3.2,3.2,3.2,tie,3.3,tie,3.3,tie,3.2,3.3,3.2,3.2,3.3,3.2,,Master Master,"('3.2', '3.3')",pilot_1,CD1
30,2022-05-20,3,4.0,3.1 v 3.4,,3.4,3.4,3.1,3.1,3.4,3.1,3.1,3.4,3.1,3.1,3.1,3.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Master Master,"('3.1', '3.4')",pilot_1,CD1
31,2022-05-20,3,3.0,3.2 v 3.3,,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.3,3.2,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,Master Master,"('3.2', '3.3')",pilot_1,CD1
32,2022-05-20,3,2.0,3.1 v 3.3,,tie,3.1,3.3,3.3,3.3,3.3,3.1,3.3,3.1,3.1,3.1,3.1,3.3,tie,3.1,3.3,3.1,3.1,3.3,3.1,Master Master,"('3.1', '3.3')",pilot_1,CD1
33,2022-05-20,3,1.0,3.2 v 3.4,,3.2,3.2,3.4,3.4,Tie,3.2,3.2,3.2,3.2,3.4,3.4,3.2,3.2,3.4,3.4,3.2,3.2,3.4,3.4,NO TRIAL,Master Master,"('3.2', '3.4')",pilot_1,CD1
34,2022-05-20,3,3.0,3.3 v 3.4,,3.4,3.3,3.3,3.3,3.3,3.4,3.3,3.3,3.4,tie,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,Master Master,"('3.3', '3.4')",pilot_1,CD1
35,2022-05-20,3,1.4,3.1 v 3.4,,3.4,3.4,3.1,3.1,3.4,3.1,3.1,3.4,3.1,3.1,3.1,3.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Master Master,"('3.1', '3.4')",pilot_1,CD1
36,2022-05-19,4,3.0,4.1 v 4.2,,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,Master Master,"('4.1', '4.2')",pilot_1,CD1
