,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,oberserver,notes,length_of_observation,date,cage_#,winner,loser,action,1,2,3,4,sheet_name,session_number_difference,,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,experiment_type,cohort
0,1,3.1,3.4,1000.0,1010.0,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,c,1.0,,,-1.0,CAGE3,,CAGE3,3,3,3,3,home_cage_observations,pilot_1
1,1,3.4,3.1,1000.0,990.0,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,c,1.0,,,-1.0,CAGE3,,CAGE3,3,3,3,3,home_cage_observations,pilot_1
2,2,3.1,3.4,1010.0,1019.4,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,f,1.0,,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
3,2,3.4,3.1,990.0,980.6,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,f,1.0,,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
4,3,3.1,3.2,1019.4,1028.8,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
5,3,3.2,3.1,1000.0,990.6,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
6,4,3.1,3.4,1028.8,1037.4,1,1,3,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
7,4,3.4,3.1,980.6,972.0,0,3,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
8,5,3.1,3.2,1037.4,1046.1,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
9,5,3.2,3.1,990.6,981.9,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
10,6,3.1,3.2,1046.1,1054.3,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
11,6,3.2,3.1,981.9,973.7,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
12,7,3.1,3.2,1054.3,1062.0,1,1,3,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
13,7,3.2,3.1,973.7,966.0,0,3,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
14,8,3.1,3.2,1062.0,1069.3,1,1,3,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
15,8,3.2,3.1,966.0,958.7,0,3,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
16,9,3.1,3.2,1069.3,1076.2,1,1,3,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
17,9,3.2,3.1,958.7,951.8,0,3,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
18,10,3.1,3.4,1076.2,1083.3,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
19,10,3.4,3.1,972.0,964.9,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.4,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
20,11,3.1,3.2,1083.3,1089.7,1,1,3,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
21,11,3.2,3.1,951.8,945.4,0,3,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
22,12,3.1,3.3,1089.7,1097.2,1,1,2,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.3,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
23,12,3.3,3.1,1000.0,992.5,0,2,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.3,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
24,13,3.1,3.2,1097.2,1103.1,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
25,13,3.2,3.1,945.4,939.5,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
26,14,3.1,3.2,1103.1,1108.7,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
27,14,3.2,3.1,939.5,933.9,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
28,15,3.1,3.2,1108.7,1114.1,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
29,15,3.2,3.1,933.9,928.5,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
30,16,3.1,3.2,1114.1,1119.2,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
31,16,3.2,3.1,928.5,923.4,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
32,17,3.1,3.2,1119.2,1124.1,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
33,17,3.2,3.1,923.4,918.5,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
34,18,3.1,3.2,1124.1,1128.8,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
35,18,3.2,3.1,918.5,913.8,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,f,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
36,19,3.1,3.2,1128.8,1133.3,1,1,4,0,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
37,19,3.2,3.1,913.8,909.3,0,4,1,1,Naeliz,isolated all animals for 30 min. then reintroduced in a fresh cage,,2022-05-04,3.0,3.1,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
38,20,3.4,3.3,964.9,975.7,1,3,2,0,Naeliz,"right after tubetesting, and without dominant #1, fresh clean cage, after 10 minutes habituation",,2022-05-05,3.0,3.4,3.3,f,1.0,-1.0,-1.0,-1.0,CAGE3,1.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
39,20,3.3,3.4,992.5,981.7,0,2,3,1,Naeliz,"right after tubetesting, and without dominant #1, fresh clean cage, after 10 minutes habituation",,2022-05-05,3.0,3.4,3.3,f,1.0,-1.0,-1.0,-1.0,CAGE3,1.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
40,21,3.4,3.2,975.7,983.8,1,2,4,0,Naeliz,"right after tubetesting, and without dominant #1, fresh clean cage, after 10 minutes habituation",,2022-05-05,3.0,3.4,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
41,21,3.2,3.4,909.3,901.2,0,4,2,1,Naeliz,"right after tubetesting, and without dominant #1, fresh clean cage, after 10 minutes habituation",,2022-05-05,3.0,3.4,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
42,22,3.4,3.3,983.8,993.7,1,2,3,0,Naeliz,"right after tubetesting, and without dominant #1, fresh clean cage, after 10 minutes habituation",,2022-05-05,3.0,3.4,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
43,22,3.3,3.4,981.7,971.8,0,3,2,1,Naeliz,"right after tubetesting, and without dominant #1, fresh clean cage, after 10 minutes habituation",,2022-05-05,3.0,3.4,3.3,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
44,23,3.3,3.4,971.8,982.4,1,3,2,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,1.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
45,23,3.4,3.3,993.7,983.1,0,2,3,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,1.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
46,24,3.3,3.4,982.4,992.4,1,2,3,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
47,24,3.4,3.3,983.1,973.1,0,3,2,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
48,25,3.4,3.2,973.1,981.1,1,3,4,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.4,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
49,25,3.2,3.4,901.2,893.2,0,4,3,1,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.4,3.2,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
50,26,3.3,3.4,992.4,1002.1,1,2,3,0,Naeliz,"powervacuum in cage 3, wasnt able to reintroduce dominant after this recording",,2022-05-11,3.0,3.3,3.4,c,1.0,-1.0,-1.0,-1.0,CAGE3,0.0,CAGE3,3,3,3,3,home_cage_observations,pilot_1
