,rc_animal_ids,rc_date,rc_winner,rc_loser,rc_winner_no_ties,rc_loser_no_ties,rc_different_result_as_previous,rc_number_of_switches,cohort,processed_cage_number,strain,rc_averaged_winner,rc_averaged_loser,rc_winner_count,rc_loser_count,rc_tie_count,rc_all_match_count_including_ties,rc_winner_count_minus_loser_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio
0,"('1.1', '1.2')",2022-05-19,"['1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2']","['1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2']","[False, False, False, True, False, True, True, True, False, False, True, False, False, False, False, True, True, True, False]",8,pilot_1,1,C57,1.1,1.2,11,9,0,20,2,0.55,0.55,True,0.0
1,"('1.1', '1.2')",2022-05-20,"['1.1', 'tie', '1.2', 'tie', '1.2', 'tie', '1.1', 'tie', '1.1', 'tie', 'tie', '1.1', '1.2', '1.2', 'tie', 'tie', 'tie', '1.1', 'tie']","['1.2', 'tie', '1.1', 'tie', '1.1', 'tie', '1.2', 'tie', '1.2', 'tie', 'tie', '1.2', '1.1', '1.1', 'tie', 'tie', 'tie', '1.2', 'tie']","['1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1']","['1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2']","[True, False, True, False, False, True, False, True]",4,pilot_1,1,C57,1.1,1.2,5,4,10,19,1,0.5555555555555556,0.2631578947368421,True,0.5263157894736842
2,"('1.1', '1.3')",2022-05-19,"['1.3', 'tie', '1.3', '1.1', '1.1', '1.3', '1.3', 'tie', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']","['1.1', 'tie', '1.1', '1.3', '1.3', '1.1', '1.1', 'tie', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']","['1.1', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","[False, True, False, True, False, False, True, True, False, True, True, False, False, False, False, False]",6,pilot_1,1,C57,1.3,1.1,13,4,2,19,9,0.7647058823529411,0.6842105263157895,False,0.10526315789473684
3,"('1.1', '1.3')",2022-05-20,"['1.1', 'tie', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', 'tie', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3']","['1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3']","[True, True, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False]",4,pilot_1,1,C57,1.1,1.3,15,3,2,20,12,0.8333333333333334,0.75,False,0.1
4,"('1.1', '1.4')",2022-05-19,"['1.4', '1.1', '1.4', '1.4', '1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1']","['1.1', '1.4', '1.1', '1.1', '1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4']","['1.4', '1.1', '1.4', '1.4', '1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1']","['1.1', '1.4', '1.1', '1.1', '1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4']","[True, True, False, True, True, True, True, False, False, True, False, False, True, False, False, False, False, False, True]",9,pilot_1,1,C57,1.4,1.1,13,7,0,20,6,0.65,0.65,False,0.0
5,"('1.1', '1.4')",2022-05-20,"['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.4']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1']","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, True]",3,pilot_1,1,C57,1.1,1.4,16,2,1,19,14,0.8888888888888888,0.8421052631578947,False,0.05263157894736842
6,"('1.2', '1.3')",2022-05-19,"['1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', 'tie', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2']","['1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', 'tie', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3']","['1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2']","['1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3']","[True, False, False, True, True, False, False, True, False, True, True, True, True, False, True, True, False, False]",10,pilot_1,1,C57,1.2,1.3,10,9,1,20,1,0.5263157894736842,0.5,True,0.05
7,"('1.2', '1.3')",2022-05-20,"['1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3']","['1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2']","[False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, True]",3,pilot_1,1,C57,1.2,1.3,14,4,1,19,10,0.7777777777777778,0.7368421052631579,False,0.05263157894736842
8,"('1.2', '1.4')",2022-05-19,"['1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.4', '1.4']","['1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.4', '1.4']","['1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.2', '1.2']","[True, False, False, True, False, True, False, True, True, False, True, True, False, True, True, False, True, False, False]",10,pilot_1,1,C57,1.2,1.4,11,9,0,20,2,0.55,0.55,True,0.0
9,"('1.2', '1.4')",2022-05-20,"['1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']","['1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']","[True, False, False, True, False, True, True, False, False, False, True, False, False, True, False, False, False, False]",6,pilot_1,1,C57,1.2,1.4,12,7,0,19,5,0.631578947368421,0.631578947368421,False,0.0
