,rc_animal_ids,rc_winner,rc_loser,rc_average_number_of_switches,rc_winner_no_ties,rc_loser_no_ties,rc_averaged_winner,rc_averaged_loser,rc_winner_count,rc_loser_count,rc_tie_count,rc_all_match_count_including_ties,rc_winner_count_minus_loser_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio,processed_cage_number,cohort
0,"('1.1', '1.2')","['1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1', '1.1', 'tie', '1.2', 'tie', '1.2', 'tie', '1.1', 'tie', '1.1', 'tie', 'tie', '1.1', '1.2', '1.2', 'tie', 'tie', 'tie', '1.1', 'tie']","['1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2', '1.2', 'tie', '1.1', 'tie', '1.1', 'tie', '1.2', 'tie', '1.2', 'tie', 'tie', '1.2', '1.1', '1.1', 'tie', 'tie', 'tie', '1.2', 'tie']",6.0,"['1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2']",1.1,1.2,16,13,10,39,3,0.5517241379310345,0.41025641025641024,True,0.2564102564102564,1,pilot_1
1,"('1.1', '1.3')","['1.3', 'tie', '1.3', '1.1', '1.1', '1.3', '1.3', 'tie', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', 'tie', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.1', 'tie', '1.1', '1.3', '1.3', '1.1', '1.1', 'tie', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', 'tie', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3']",5.0,"['1.3', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3']",1.1,1.3,19,16,4,39,3,0.5428571428571428,0.48717948717948717,True,0.10256410256410256,1,pilot_1
2,"('1.1', '1.4')","['1.4', '1.1', '1.4', '1.4', '1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.4']","['1.1', '1.4', '1.1', '1.1', '1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', '1.1']",6.0,"['1.4', '1.1', '1.4', '1.4', '1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4']","['1.1', '1.4', '1.1', '1.1', '1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1']",1.1,1.4,23,15,1,39,8,0.6052631578947368,0.5897435897435898,False,0.02564102564102564,1,pilot_1
3,"('1.2', '1.3')","['1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', 'tie', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3']","['1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', 'tie', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2']",6.5,"['1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3']","['1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2']",1.2,1.3,24,13,2,39,11,0.6486486486486487,0.6153846153846154,False,0.05128205128205128,1,pilot_1
4,"('1.2', '1.4')","['1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']",8.0,"['1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.4', '1.4', '1.4', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']",1.2,1.4,23,16,0,39,7,0.5897435897435898,0.5897435897435898,True,0.0,1,pilot_1
5,"('1.3', '1.4')","['1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', 'tie', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3']","['1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', 'tie', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4']",8.0,"['1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3']","['1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4']",1.4,1.3,20,19,1,40,1,0.5128205128205128,0.5,True,0.025,1,pilot_1
6,"('2.1', '2.2')","['2.1', '2.1', '2.2', '2.1', '2.1', 'tie', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', 'tie', 'tie', '2.1']","['2.2', '2.2', '2.1', '2.2', '2.2', 'tie', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', 'tie', 'tie', '2.2']",7.0,"['2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.1']","['2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.2']",2.1,2.2,24,13,3,40,11,0.6486486486486487,0.6,False,0.075,2,pilot_1
7,"('2.1', '2.3')","['2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.1', '2.3', '2.1', '2.1', '2.3', '2.3', 'tie', '2.1', '2.3', 'tie', 'tie', 'tie', '2.1', 'tie', 'tie', '2.3', 'tie', '2.3', '2.1', '2.1', '2.1', 'tie', 'tie', 'tie', '2.1']","['2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.3', '2.1', '2.3', '2.3', '2.1', '2.1', 'tie', '2.3', '2.1', 'tie', 'tie', 'tie', '2.3', 'tie', 'tie', '2.1', 'tie', '2.1', '2.3', '2.3', '2.3', 'tie', 'tie', 'tie', '2.3']",6.5,"['2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.1', '2.3', '2.1', '2.1', '2.3', '2.3', '2.1', '2.3', '2.1', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1']","['2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.3', '2.1', '2.3', '2.3', '2.1', '2.1', '2.3', '2.1', '2.3', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3']",2.3,2.1,16,13,10,39,3,0.5517241379310345,0.41025641025641024,True,0.2564102564102564,2,pilot_1
8,"('2.1', '2.4')","['2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.4', '2.4', '2.1', '2.4', 'tie', '2.1', 'tie', 'tie', '2.1', '2.1', 'tie', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.1', '2.1', '2.4', '2.1', 'tie', '2.4', 'tie', 'tie', '2.4', '2.4', 'tie', 'tie', '2.4', '2.4', '2.4', '2.4', '2.4']",6.0,"['2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.4', '2.4', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.1', '2.1', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4']",2.1,2.4,28,7,5,40,21,0.8,0.7,False,0.125,2,pilot_1
9,"('2.2', '2.3')","['2.2', '2.3', '2.2', '2.3', '2.2', '2.3', 'tie', '2.2', '2.3', 'tie', '2.2', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', 'tie', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3']","['2.3', '2.2', '2.3', '2.2', '2.3', '2.2', 'tie', '2.3', '2.2', 'tie', '2.3', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2']",9.0,"['2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3']","['2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2']",2.3,2.2,25,12,3,40,13,0.6756756756756757,0.625,False,0.075,2,pilot_1
