,subject_id,final_elo_score,cohort,strain,cage,experiment_type,rank
0,1.1,1165.8,pilot_1,C57,1,reward_competition,1.0
1,1.2,1007.3,pilot_1,C57,1,reward_competition,2.0
2,1.3,900.9,pilot_1,C57,1,reward_competition,4.0
3,1.4,926.0,pilot_1,C57,1,reward_competition,3.0
4,2.1,1144.7,pilot_1,C57,2,reward_competition,1.0
5,2.2,951.4,pilot_1,C57,2,reward_competition,3.0
6,2.3,921.4,pilot_1,C57,2,reward_competition,4.0
7,2.4,982.5,pilot_1,C57,2,reward_competition,2.0
8,3.1,1132.5,pilot_1,CD1,3,reward_competition,1.0
9,3.2,963.2,pilot_1,CD1,3,reward_competition,3.0
10,3.3,978.1,pilot_1,CD1,3,reward_competition,2.0
11,3.4,926.2,pilot_1,CD1,3,reward_competition,4.0
12,4.1,1141.8,pilot_1,CD1,4,reward_competition,1.0
13,4.2,870.0,pilot_1,CD1,4,reward_competition,4.0
14,4.3,955.1,pilot_1,CD1,4,reward_competition,3.0
15,4.4,1033.1,pilot_1,CD1,4,reward_competition,2.0
