,subject_id,final_elo_rating,cohort,strain,cage,experiment_type,rank
0,1.1,1124.8,pilot_2,C57,1,reward_competition,1.0
1,1.2,1058.3,pilot_2,C57,1,reward_competition,2.0
2,1.3,905.2,pilot_2,C57,1,reward_competition,4.0
3,1.4,911.7,pilot_2,C57,1,reward_competition,3.0
4,2.1,805.2,pilot_2,C57,2,reward_competition,4.0
5,2.2,970.9,pilot_2,C57,2,reward_competition,3.0
6,2.3,1043.7,pilot_2,C57,2,reward_competition,2.0
7,2.4,1180.2,pilot_2,C57,2,reward_competition,1.0
8,3.1,1037.9,pilot_2,C57,3,reward_competition,2.0
9,3.2,810.3,pilot_2,C57,3,reward_competition,4.0
10,3.3,1030.6,pilot_2,C57,3,reward_competition,3.0
11,3.4,1121.2,pilot_2,C57,3,reward_competition,1.0
12,4.1,872.7,pilot_2,CD1,4,reward_competition,4.0
13,4.2,1011.2,pilot_2,CD1,4,reward_competition,3.0
14,4.3,1053.1,pilot_2,CD1,4,reward_competition,2.0
15,4.4,1063.0,pilot_2,CD1,4,reward_competition,1.0
16,5.1,1011.8,pilot_2,CD1,5,reward_competition,2.0
17,5.2,1144.4,pilot_2,CD1,5,reward_competition,1.0
18,5.3,862.8,pilot_2,CD1,5,reward_competition,4.0
19,5.4,981.0,pilot_2,CD1,5,reward_competition,3.0
20,6.1,1101.3,pilot_2,CD1,6,reward_competition,1.0
21,6.2,948.7,pilot_2,CD1,6,reward_competition,3.0
22,6.3,1010.6,pilot_2,CD1,6,reward_competition,2.0
23,6.4,939.4,pilot_2,CD1,6,reward_competition,4.0
