,rc_animal_ids,rc_winner,rc_loser,rc_average_number_of_switches,rc_winner_no_ties,rc_loser_no_ties,rc_averaged_winner,rc_averaged_loser,rc_winner_count,rc_loser_count,rc_tie_count,rc_all_match_count_including_ties,rc_winner_count_minus_loser_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio,processed_cage_number,cohort
0,"('1.1', '1.2')","['1.2', '1.1', '1.1', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', 'tie', '1.2', 'tie', '1.1', 'tie', '1.1', 'tie', '1.2', '1.2', '1.2', 'tie', 'tie', 'tie', 'tie']","['1.1', '1.2', '1.2', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', 'tie', '1.1', 'tie', '1.2', 'tie', '1.2', 'tie', '1.1', '1.1', '1.1', 'tie', 'tie', 'tie', 'tie']",6.0,"['1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.1', '1.1', '1.2', '1.2', '1.2']","['1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.2', '1.2', '1.1', '1.1', '1.1']",1.1,1.2,16,13,9,38,3,0.5517241379310345,0.42105263157894735,True,0.23684210526315788,1,pilot_2
1,"('1.1', '1.3')","['1.1', '1.3', '1.1', '1.1', '1.3', '1.1', 'tie', '1.3', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.1', '1.3', 'tie', '1.1', '1.3', '1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']",4.0,"['1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']",1.1,1.3,31,4,3,38,27,0.8857142857142857,0.8157894736842105,False,0.07894736842105263,1,pilot_2
2,"('1.1', '1.4')","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4']",3.5,"['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4']",1.1,1.4,34,4,0,38,30,0.8947368421052632,0.8947368421052632,False,0.0,1,pilot_2
3,"('1.2', '1.3')","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.3', 'tie', '1.3', 'tie', 'tie', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', 'tie', '1.2', '1.3']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.2', 'tie', '1.2', 'tie', 'tie', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', 'tie', '1.3', '1.2']",7.0,"['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2']",1.2,1.3,21,12,5,38,9,0.6363636363636364,0.5526315789473685,False,0.13157894736842105,1,pilot_2
4,"('1.2', '1.4')","['1.2', '1.2', '1.4', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', 'tie', 'tie', 'tie', '1.2', '1.2', 'tie', 'tie', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.4']","['1.4', '1.4', '1.2', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', 'tie', 'tie', 'tie', '1.4', '1.4', 'tie', 'tie', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', '1.4', '1.4', '1.4', '1.2']",4.5,"['1.2', '1.2', '1.4', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4']","['1.4', '1.4', '1.2', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2']",1.2,1.4,24,8,6,38,16,0.75,0.631578947368421,False,0.15789473684210525,1,pilot_2
5,"('1.3', '1.4')","['1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', 'tie', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.3']","['1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', 'tie', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.4']",8.5,"['1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.3']","['1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.4']",1.4,1.3,21,16,1,38,5,0.5675675675675675,0.5526315789473685,True,0.02631578947368421,1,pilot_2
6,"('2.1', '2.2')","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.2', '2.1', '2.2', '2.1']","['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.1', '2.2', '2.1', '2.2']",2.5,"['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.2', '2.1', '2.2', '2.1']","['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.1', '2.2', '2.1', '2.2']",2.1,2.2,22,16,0,38,6,0.5789473684210527,0.5789473684210527,True,0.0,2,pilot_2
7,"('2.1', '2.3')","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', 'tie', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', 'tie', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",3.0,"['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",2.3,2.1,33,3,2,38,30,0.9166666666666666,0.868421052631579,False,0.05263157894736842,2,pilot_2
8,"('2.1', '2.4')","['2.1', '2.1', 'tie', '2.4', '2.4', '2.1', '2.1', '2.1', 'tie', 'tie', '2.4', '2.1', '2.4', '2.4', '2.1', '2.1', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4']","['2.4', '2.4', 'tie', '2.1', '2.1', '2.4', '2.4', '2.4', 'tie', 'tie', '2.1', '2.4', '2.1', '2.1', '2.4', '2.4', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",5.5,"['2.1', '2.1', '2.4', '2.4', '2.1', '2.1', '2.1', '2.4', '2.1', '2.4', '2.4', '2.1', '2.1', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4']","['2.4', '2.4', '2.1', '2.1', '2.4', '2.4', '2.4', '2.1', '2.4', '2.1', '2.1', '2.4', '2.4', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",2.4,2.1,25,10,3,38,15,0.7142857142857143,0.6578947368421053,False,0.07894736842105263,2,pilot_2
9,"('2.2', '2.3')","['2.1', '2.1', 'tie', '2.3', '2.3', '2.1', '2.1', '2.1', 'tie', 'tie', '2.3', '2.1', '2.3', '2.3', '2.1', '2.1', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.2', '2.3', '2.3', 'tie', '2.2', '2.3', '2.2', '2.3']","['2.3', '2.3', 'tie', '2.2', '2.2', '2.3', '2.3', '2.3', 'tie', 'tie', '2.2', '2.3', '2.2', '2.2', '2.3', '2.3', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.3', '2.2', '2.2', 'tie', '2.3', '2.2', '2.3', '2.2']",3.5,"['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.3']","['2.3', '2.3', '2.2', '2.2', '2.3', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.3', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.2']",2.3,2.2,21,5,4,38,16,0.8076923076923077,0.5526315789473685,False,0.10526315789473684,2,pilot_2
