,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,date,match,left_number_of_spots,right_number_of_spots,winner,loser,spot_number_difference,percent_difference,match_is_tie,notes,sheet_name,session_number_difference,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,subject_strain,agent_strain,experiment_type,cohort
0,1,1.2,1.1,1000.0,1010.0,1.0,1,2,0,2022-07-11,1.1vs1.2,16,26,1.2,1.1,10.0,0.47619047619047616,False,,CAGE1,,1,1,1,1,C57,C57,urine_marking,pilot_2
1,1,1.1,1.2,1000.0,990.0,0.0,2,1,1,2022-07-11,1.1vs1.2,16,26,1.2,1.1,10.0,0.47619047619047616,False,,CAGE1,,1,1,1,1,C57,C57,urine_marking,pilot_2
2,2,1.3,1.4,1000.0,1000.0,0.5,2,3,0,2022-07-11,1.3vs1.4,6,5,1.3,1.4,1.0,0.18181818181818182,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
3,2,1.4,1.3,1000.0,1000.0,0.5,3,2,1,2022-07-11,1.3vs1.4,6,5,1.3,1.4,1.0,0.18181818181818182,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
4,3,1.1,1.3,990.0,990.3,0.5,4,3,0,2022-07-12,1.1vs1.3,4,1,1.1,1.3,3.0,1.2,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
5,3,1.3,1.1,1000.0,999.7,0.5,3,4,1,2022-07-12,1.1vs1.3,4,1,1.1,1.3,3.0,1.2,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
6,4,1.2,1.4,1010.0,1019.7,1.0,1,4,0,2022-07-12,1.4vs1.2,5,33,1.2,1.4,28.0,1.4736842105263157,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
7,4,1.4,1.2,1000.0,990.3,0.0,4,1,1,2022-07-12,1.4vs1.2,5,33,1.2,1.4,28.0,1.4736842105263157,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
8,5,1.2,1.3,1019.7,1029.1,1.0,1,3,0,2022-07-13,1.2vs1.3,11,2,1.2,1.3,9.0,1.3846153846153846,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
9,5,1.3,1.2,999.7,990.3,0.0,3,1,1,2022-07-13,1.2vs1.3,11,2,1.2,1.3,9.0,1.3846153846153846,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
10,6,1.4,1.1,990.3,1000.3,1.0,2,4,0,2022-07-13,1.4vs1.1,7,2,1.4,1.1,5.0,1.1111111111111112,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
11,6,1.1,1.4,990.3,980.3,0.0,4,2,1,2022-07-13,1.4vs1.1,7,2,1.4,1.1,5.0,1.1111111111111112,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
12,7,1.1,1.3,980.3,990.6,1.0,3,4,0,2022-08-03,1.1vs1.3,6,0,1.1,1.3,6.0,2.0,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
13,7,1.3,1.1,990.3,980.0,0.0,4,3,1,2022-08-03,1.1vs1.3,6,0,1.1,1.3,6.0,2.0,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
14,8,1.4,1.2,1000.3,1001.1,0.5,2,1,0,2022-08-03,1.2vs1.4,14,16,1.4,1.2,2.0,0.13333333333333333,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
15,8,1.2,1.4,1029.1,1028.3,0.5,1,2,1,2022-08-03,1.2vs1.4,14,16,1.4,1.2,2.0,0.13333333333333333,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
16,9,1.2,1.3,1028.3,1036.9,1.0,1,4,0,2022-08-04,1.2vs1.3,39,10,1.2,1.3,29.0,1.183673469387755,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
17,9,1.3,1.2,980.0,971.4,0.0,4,1,1,2022-08-04,1.2vs1.3,39,10,1.2,1.3,29.0,1.183673469387755,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
18,10,1.1,1.4,990.6,1000.9,1.0,2,3,0,2022-08-04,1.4vs1.1,20,35,1.1,1.4,15.0,0.5454545454545454,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
19,10,1.4,1.1,1001.1,990.8,0.0,3,2,1,2022-08-04,1.4vs1.1,20,35,1.1,1.4,15.0,0.5454545454545454,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
20,11,1.2,1.1,1036.9,1045.9,1.0,1,2,0,2022-08-05,1.1v1.2,12,30,1.2,1.1,18.0,0.8571428571428571,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
21,11,1.1,1.2,1000.9,991.9,0.0,2,1,1,2022-08-05,1.1v1.2,12,30,1.2,1.1,18.0,0.8571428571428571,False,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_2
22,12,1.3,1.4,971.4,972.0,0.5,4,3,0,2022-08-05,1.3v1.4,5,3,1.3,1.4,2.0,0.5,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
23,12,1.4,1.3,990.8,990.2,0.5,3,4,1,2022-08-05,1.3v1.4,5,3,1.3,1.4,2.0,0.5,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_2
0,1,2.1,2.2,1000.0,1000.0,0.5,1,2,0,2022-07-11,2.1vs2.2,17,13,2.1,2.2,4.0,0.26666666666666666,True,,CAGE2,,2,2,2,2,C57,C57,urine_marking,pilot_2
1,1,2.2,2.1,1000.0,1000.0,0.5,2,1,1,2022-07-11,2.1vs2.2,17,13,2.1,2.2,4.0,0.26666666666666666,True,,CAGE2,,2,2,2,2,C57,C57,urine_marking,pilot_2
2,2,2.3,2.4,1000.0,1010.0,1.0,1,4,0,2022-07-11,2.3vs2.4,14,7,2.3,2.4,7.0,0.6666666666666666,False,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
3,2,2.4,2.3,1000.0,990.0,0.0,4,1,1,2022-07-11,2.3vs2.4,14,7,2.3,2.4,7.0,0.6666666666666666,False,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
4,3,2.3,2.1,1010.0,1019.7,1.0,1,3,0,2022-07-12,2.1vs2.3,22,38,2.3,2.1,16.0,0.5333333333333333,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_2
5,3,2.1,2.3,1000.0,990.3,0.0,3,1,1,2022-07-12,2.1vs2.3,22,38,2.3,2.1,16.0,0.5333333333333333,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_2
6,4,2.2,2.4,1000.0,999.7,0.5,2,4,0,2022-07-12,2.4vs2.2,8,12,2.2,2.4,4.0,0.4,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
7,4,2.4,2.2,990.0,990.3,0.5,4,2,1,2022-07-12,2.4vs2.2,8,12,2.2,2.4,4.0,0.4,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
8,5,2.3,2.2,1019.7,1029.1,1.0,1,3,0,2022-07-13,2.2vs2.3,3,110,2.3,2.2,107.0,1.8938053097345133,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_2
9,5,2.2,2.3,999.7,990.3,0.0,3,1,1,2022-07-13,2.2vs2.3,3,110,2.3,2.2,107.0,1.8938053097345133,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_2
10,6,2.4,2.1,990.3,990.3,0.5,4,2,0,2022-07-13,2.4vs2.1,6,6,2.4,2.1,0.0,0.0,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
11,6,2.1,2.4,990.3,990.3,0.5,2,4,1,2022-07-13,2.4vs2.1,6,6,2.4,2.1,0.0,0.0,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
12,7,2.1,2.3,990.3,1001.4,1.0,2,1,0,2022-08-03,2.1vs2.3,18,10,2.1,2.3,8.0,0.5714285714285714,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_2
13,7,2.3,2.1,1029.1,1018.0,0.0,1,2,1,2022-08-03,2.1vs2.3,18,10,2.1,2.3,8.0,0.5714285714285714,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_2
14,8,2.2,2.4,990.3,990.3,0.5,3,4,0,2022-08-03,2.2vs2.4,9,5,2.2,2.4,4.0,0.5714285714285714,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_2
