,subject_id,cage_num_of_subject,final_elo_rating,cohort,strain,experiment_type,rank
0,1.1,1,991.9,pilot_2,C57,urine_marking,2.0
1,1.2,1,1045.9,pilot_2,C57,urine_marking,1.0
2,1.3,1,972.0,pilot_2,C57,urine_marking,4.0
3,1.4,1,990.2,pilot_2,C57,urine_marking,3.0
4,2.1,2,1010.5,pilot_2,C57,urine_marking,2.0
5,2.2,2,971.7,pilot_2,C57,urine_marking,4.0
6,2.3,2,1036.2,pilot_2,C57,urine_marking,1.0
7,2.4,2,981.6,pilot_2,C57,urine_marking,3.0
8,3.1,3,1028.9,pilot_2,C57,urine_marking,1.0
9,3.2,3,973.3,pilot_2,C57,urine_marking,4.0
10,3.3,3,1017.8,pilot_2,C57,urine_marking,2.0
11,3.4,3,980.0,pilot_2,C57,urine_marking,3.0
12,4.1,4,989.7,pilot_2,CD1,urine_marking,3.0
13,4.2,4,1055.2,pilot_2,CD1,urine_marking,1.0
14,4.3,4,990.3,pilot_2,CD1,urine_marking,2.0
15,4.4,4,964.8,pilot_2,CD1,urine_marking,4.0
16,5.1,5,953.9,pilot_2,CD1,urine_marking,4.0
17,5.2,5,1008.8,pilot_2,CD1,urine_marking,3.0
18,5.3,5,1027.8,pilot_2,CD1,urine_marking,1.0
19,5.4,5,1009.5,pilot_2,CD1,urine_marking,2.0
20,6.1,6,1027.0,pilot_2,CD1,urine_marking,1.0
21,6.2,6,962.5,pilot_2,CD1,urine_marking,4.0
22,6.3,6,1009.7,pilot_2,CD1,urine_marking,2.0
23,6.4,6,1000.8,pilot_2,CD1,urine_marking,3.0
