,uma_tuple_animal_id,uma_winner,uma_loser,cohort,uma_averaged_winner,uma_averaged_loser,uma_winner_count,uma_loser_count,uma_count_difference,uma_match_count,uma_percent_win,uma_percentage_tie
0,"('1.1', '1.2')","['1.2', '1.2']","['1.1', '1.1']",pilot_2,1.2,1.1,2,0,2,2,1.0,False
1,"('1.1', '1.3')","['1.1', '1.1']","['1.3', '1.3']",pilot_2,1.1,1.3,2,0,2,2,1.0,False
2,"('1.1', '1.4')","['1.4', '1.1']","['1.1', '1.4']",pilot_2,1.4,1.1,1,1,0,2,0.5,True
3,"('1.2', '1.3')","['1.2', '1.2']","['1.3', '1.3']",pilot_2,1.2,1.3,2,0,2,2,1.0,False
4,"('1.2', '1.4')","['1.2', '1.4']","['1.4', '1.2']",pilot_2,1.2,1.4,1,1,0,2,0.5,True
5,"('1.3', '1.4')","['1.3', '1.3']","['1.4', '1.4']",pilot_2,1.3,1.4,2,0,2,2,1.0,False
6,"('2.1', '2.2')","['2.1', '2.1']","['2.2', '2.2']",pilot_2,2.1,2.2,2,0,2,2,1.0,False
7,"('2.1', '2.3')","['2.3', '2.1']","['2.1', '2.3']",pilot_2,2.3,2.1,1,1,0,2,0.5,True
8,"('2.1', '2.4')","['2.4', '2.1']","['2.1', '2.4']",pilot_2,2.4,2.1,1,1,0,2,0.5,True
9,"('2.2', '2.3')","['2.3', '2.3']","['2.2', '2.2']",pilot_2,2.3,2.2,2,0,2,2,1.0,False
10,"('2.2', '2.4')","['2.2', '2.2']","['2.4', '2.4']",pilot_2,2.2,2.4,2,0,2,2,1.0,False
11,"('2.3', '2.4')","['2.3', '2.3']","['2.4', '2.4']",pilot_2,2.3,2.4,2,0,2,2,1.0,False
12,"('3.1', '3.2')","['3.1', '3.1']","['3.2', '3.2']",pilot_2,3.1,3.2,2,0,2,2,1.0,False
13,"('3.1', '3.3')","['3.3', '3.1']","['3.1', '3.3']",pilot_2,3.3,3.1,1,1,0,2,0.5,True
14,"('3.1', '3.4')","['3.1', '3.1']","['3.4', '3.4']",pilot_2,3.1,3.4,2,0,2,2,1.0,False
15,"('3.2', '3.3')","['3.3', '3.3']","['3.2', '3.2']",pilot_2,3.3,3.2,2,0,2,2,1.0,False
16,"('3.2', '3.4')","['3.2', '3.4']","['3.4', '3.2']",pilot_2,3.2,3.4,1,1,0,2,0.5,True
17,"('3.3', '3.4')","['3.3', '3.3']","['3.4', '3.4']",pilot_2,3.3,3.4,2,0,2,2,1.0,False
18,"('4.1', '4.2')","['4.2', '4.2']","['4.1', '4.1']",pilot_2,4.2,4.1,2,0,2,2,1.0,False
19,"('4.1', '4.3')","['4.3', '4.1']","['4.1', '4.3']",pilot_2,4.3,4.1,1,1,0,2,0.5,True
20,"('4.1', '4.4')","['4.1', '4.4']","['4.4', '4.1']",pilot_2,4.1,4.4,1,1,0,2,0.5,True
21,"('4.2', '4.3')","['4.2', '4.2']","['4.3', '4.3']",pilot_2,4.2,4.3,2,0,2,2,1.0,False
22,"('4.2', '4.4')","['4.2', '4.2']","['4.4', '4.4']",pilot_2,4.2,4.4,2,0,2,2,1.0,False
23,"('4.3', '4.4')","['4.3', '4.3']","['4.4', '4.4']",pilot_2,4.3,4.4,2,0,2,2,1.0,False
24,"('5.1', '5.2')","['5.2', '5.2']","['5.1', '5.1']",pilot_2,5.2,5.1,2,0,2,2,1.0,False
25,"('5.1', '5.3')","['5.3', '5.3']","['5.1', '5.1']",pilot_2,5.3,5.1,2,0,2,2,1.0,False
26,"('5.1', '5.4')","['5.4', '5.4']","['5.1', '5.1']",pilot_2,5.4,5.1,2,0,2,2,1.0,False
27,"('5.2', '5.3')","['5.2', '5.2']","['5.3', '5.3']",pilot_2,5.2,5.3,2,0,2,2,1.0,False
28,"('5.2', '5.4')","['5.4', '5.4']","['5.2', '5.2']",pilot_2,5.4,5.2,2,0,2,2,1.0,False
29,"('5.3', '5.4')","['5.3', '5.3']","['5.4', '5.4']",pilot_2,5.3,5.4,2,0,2,2,1.0,False
30,"('6.1', '6.2')","['6.1', '6.1']","['6.2', '6.2']",pilot_2,6.1,6.2,2,0,2,2,1.0,False
31,"('6.1', '6.3')","['6.1', '6.1']","['6.3', '6.3']",pilot_2,6.1,6.3,2,0,2,2,1.0,False
32,"('6.1', '6.4')","['6.1', '6.4']","['6.4', '6.1']",pilot_2,6.1,6.4,1,1,0,2,0.5,True
33,"('6.2', '6.3')","['6.2', '6.3']","['6.3', '6.2']",pilot_2,6.2,6.3,1,1,0,2,0.5,True
34,"('6.2', '6.4')","['6.4', '6.4']","['6.2', '6.2']",pilot_2,6.4,6.2,2,0,2,2,1.0,False
35,"('6.3', '6.4')","['6.3', '6.3']","['6.4', '6.4']",pilot_2,6.3,6.4,2,0,2,2,1.0,False
