,hco_tuple_animal_id,hco_winner,hco_loser,cohort,hco_averaged_winner,hco_averaged_loser,hco_winner_count,hco_loser_count,hco_count_difference,hco_match_count,hco_percent_win,hco_percentage_tie
0,"('1.1', '1.2')","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']",pilot_2,1.2,1.1,14,0,14,14,1.0,False
1,"('1.1', '1.3')","['1.1', '1.3']","['1.3', '1.1']",pilot_2,1.1,1.3,1,1,0,2,0.5,True
2,"('1.1', '1.4')","['1.1', '1.4']","['1.4', '1.1']",pilot_2,1.1,1.4,1,1,0,2,0.5,True
3,"('1.2', '1.3')","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']",pilot_2,1.2,1.3,13,0,13,13,1.0,False
4,"('1.2', '1.4')","['1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4']",pilot_2,1.2,1.4,6,1,5,7,0.8571428571428571,False
5,"('1.3', '1.4')",['1.4'],['1.3'],pilot_2,1.4,1.3,1,0,1,1,1.0,False
6,"('2.1', '2.2')","['2.2', '2.1', '2.1']","['2.1', '2.2', '2.2']",pilot_2,2.1,2.2,2,1,1,3,0.6666666666666666,True
7,"('2.1', '2.3')","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",pilot_2,2.3,2.1,30,0,30,30,1.0,False
8,"('2.1', '2.4')","['2.4', '2.4']","['2.1', '2.1']",pilot_2,2.4,2.1,2,0,2,2,1.0,False
9,"('2.2', '2.3')","['2.2', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2']","['2.3', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3']",pilot_2,2.3,2.2,43,3,40,46,0.9347826086956522,False
10,"('2.2', '2.4')","['2.4', '2.2']","['2.2', '2.4']",pilot_2,2.4,2.2,1,1,0,2,0.5,True
11,"('2.3', '2.4')","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4']",pilot_2,2.3,2.4,25,0,25,25,1.0,False
