,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,,sheet_name,animal_ids,cohort,strain
0,2022-07-28,1,1,1.1v1.2,Naeliz,1.2,1.1,1.1,1.2,1.2,tie,1.2,1.2,1.2,1.1,1.1,1.2,1.1,1.1,1.2,1.1,1.1,1.1,1.1,,Master Assignment List,"('1.1', '1.2')",pilot_2,C57
1,2022-07-28,1,2,1.3v1.4,Erika,1.3,1.4,1.4,1.3,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.3,1.3,1.3,1.4,1.4,,Master Assignment List,"('1.3', '1.4')",pilot_2,C57
2,2022-07-28,1,3,1.2v1.3,Ezra,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,tie,1.2,1.3,tie,1.3,tie,tie,,Master Assignment List,"('1.2', '1.3')",pilot_2,C57
3,2022-07-28,1,4,1.1v1.4,Isabel,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.4,1.1,1.1,,Master Assignment List,"('1.1', '1.4')",pilot_2,C57
4,2022-07-28,1,1,1.2v1.4,Catalina,1.2,1.2,1.4,1.2,1.4,1.2,1.2,1.4,1.2,1.2,1.2,1.2,tie,tie,tie,1.2,1.2,tie,tie,,Master Assignment List,"('1.2', '1.4')",pilot_2,C57
5,2022-07-28,1,2,1.1v1.3,Jocelyn,1.1,1.3,1.1,1.1,1.3,1.1,tie,1.3,1.1,1.1,1.1,tie,1.1,1.1,1.1,1.1,1.1,tie,1.1,,Master Assignment List,"('1.1', '1.3')",pilot_2,C57
6,2022-07-28,2,3,2.1v2.2,Albert,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,Master Assignment List,"('2.1', '2.2')",pilot_2,C57
7,2022-07-28,2,4,2.3v2.4,Naeliz,2.3,2.4,2.4,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,,Master Assignment List,"('2.3', '2.4')",pilot_2,C57
8,2022-07-28,2,1,2.2v2.3,Erika,2.1,2.1,tie,2.3,2.3,2.1,2.1,2.1,tie,tie,2.3,2.1,2.3,2.3,2.1,2.1,2.3,2.3,2.3,,Master Assignment List,"('2.2', '2.3')",pilot_2,C57
9,2022-07-28,2,2,2.1v2.4,Ezra,2.1,2.1,tie,2.4,2.4,2.1,2.1,2.1,tie,tie,2.4,2.1,2.4,2.4,2.1,2.1,2.4,2.4,2.4,,Master Assignment List,"('2.1', '2.4')",pilot_2,C57
