,rc_animal_ids,rc_date,rc_winner,rc_loser,rc_winner_no_ties,rc_loser_no_ties,rc_different_result_as_previous,rc_number_of_switches,cohort,processed_cage_number,strain,rc_averaged_winner,rc_averaged_loser,rc_winner_count,rc_loser_count,rc_tie_count,rc_all_match_count_including_ties,rc_winner_count_minus_loser_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio
0,"('1.1', '1.2')",2022-07-28,"['1.2', '1.1', '1.1', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.2', '1.2', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2']","[True, False, True, False, False, False, False, True, False, True, True, False, True, True, False, False, False]",7,pilot_2,1,C57,1.1,1.2,10,8,1,19,2,0.5555555555555556,0.5263157894736842,True,0.05263157894736842
1,"('1.1', '1.2')",2022-07-29,"['1.1', '1.2', '1.1', '1.1', '1.1', 'tie', '1.2', 'tie', '1.1', 'tie', '1.1', 'tie', '1.2', '1.2', '1.2', 'tie', 'tie', 'tie', 'tie']","['1.2', '1.1', '1.2', '1.2', '1.2', 'tie', '1.1', 'tie', '1.2', 'tie', '1.2', 'tie', '1.1', '1.1', '1.1', 'tie', 'tie', 'tie', 'tie']","['1.1', '1.2', '1.1', '1.1', '1.1', '1.2', '1.1', '1.1', '1.2', '1.2', '1.2']","['1.2', '1.1', '1.2', '1.2', '1.2', '1.1', '1.2', '1.2', '1.1', '1.1', '1.1']","[True, True, False, False, True, True, False, True, False, False]",5,pilot_2,1,C57,1.1,1.2,6,5,8,19,1,0.5454545454545454,0.3157894736842105,True,0.42105263157894735
2,"('1.1', '1.3')",2022-07-28,"['1.1', '1.3', '1.1', '1.1', '1.3', '1.1', 'tie', '1.3', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.1', '1.3', 'tie', '1.1', '1.3', '1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3']","['1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']","[True, True, False, True, True, True, True, False, False, False, False, False, False, False, False]",6,pilot_2,1,C57,1.1,1.3,13,3,3,19,10,0.8125,0.6842105263157895,False,0.15789473684210525
3,"('1.1', '1.3')",2022-07-29,"['1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']","['1.1', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.3', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3']","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",2,pilot_2,1,C57,1.1,1.3,18,1,0,19,17,0.9473684210526315,0.9473684210526315,False,0.0
4,"('1.1', '1.4')",2022-07-28,"['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",2,pilot_2,1,C57,1.1,1.4,18,1,0,19,17,0.9473684210526315,0.9473684210526315,False,0.0
5,"('1.1', '1.4')",2022-07-29,"['1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4']","['1.4', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4']","[True, True, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",5,pilot_2,1,C57,1.1,1.4,16,3,0,19,13,0.8421052631578947,0.8421052631578947,False,0.0
6,"('1.2', '1.3')",2022-07-28,"['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.3', 'tie', '1.3', 'tie', 'tie']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', 'tie', '1.3', '1.2', 'tie', '1.2', 'tie', 'tie']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2']","[False, False, False, False, False, True, True, False, False, False, False, False, True, False]",3,pilot_2,1,C57,1.2,1.3,12,3,4,19,9,0.8,0.631578947368421,False,0.21052631578947367
7,"('1.2', '1.3')",2022-07-29,"['1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', 'tie', '1.2', '1.3']","['1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', 'tie', '1.3', '1.2']","['1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3']","['1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2', '1.3', '1.2', '1.2', '1.3', '1.2', '1.3', '1.3', '1.2']","[False, True, False, False, True, True, True, False, True, True, True, False, True, True, True, False, True]",11,pilot_2,1,C57,1.2,1.3,9,9,1,19,0,0.5,0.47368421052631576,True,0.05263157894736842
8,"('1.2', '1.4')",2022-07-28,"['1.2', '1.2', '1.4', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', 'tie', 'tie', 'tie', '1.2', '1.2', 'tie', 'tie']","['1.4', '1.4', '1.2', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', 'tie', 'tie', 'tie', '1.4', '1.4', 'tie', 'tie']","['1.2', '1.2', '1.4', '1.2', '1.4', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.4', '1.2', '1.4', '1.2', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']","[False, True, True, True, True, False, True, True, False, False, False, False, False]",6,pilot_2,1,C57,1.2,1.4,11,3,5,19,8,0.7857142857142857,0.5789473684210527,False,0.2631578947368421
9,"('1.2', '1.4')",2022-07-29,"['1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.4']","['1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', '1.4', '1.4', '1.4', '1.2']","['1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4']","['1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2']","[False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True]",3,pilot_2,1,C57,1.2,1.4,13,5,1,19,8,0.7222222222222222,0.6842105263157895,False,0.05263157894736842
