,subject_id,cage_num_of_subject,final_elo_rating,cohort,strain,experiment_type,rank
0,1.1,1,1010.0,pilot_3,C57,urine_marking,1.0
1,1.2,1,1008.8,pilot_3,C57,urine_marking,2.0
2,1.3,1,971.2,pilot_3,C57,urine_marking,3.0
3,1.4,1,1010.0,pilot_3,C57,urine_marking,1.0
4,2.1,2,1009.4,pilot_3,C57,urine_marking,2.0
5,2.2,2,970.6,pilot_3,C57,urine_marking,3.0
6,2.3,2,1010.6,pilot_3,C57,urine_marking,1.0
7,2.4,2,1009.4,pilot_3,C57,urine_marking,2.0
8,3.1,3,1009.4,pilot_3,C57,urine_marking,2.0
9,3.2,3,989.4,pilot_3,C57,urine_marking,4.0
10,3.3,3,1010.6,pilot_3,C57,urine_marking,1.0
11,3.4,3,990.6,pilot_3,C57,urine_marking,3.0
12,4.1,4,971.1,pilot_3,CD1,urine_marking,4.0
13,4.2,4,990.0,pilot_3,CD1,urine_marking,3.0
14,4.3,4,1010.0,pilot_3,CD1,urine_marking,2.0
15,4.4,4,1028.9,pilot_3,CD1,urine_marking,1.0
16,5.1,5,971.1,pilot_3,CD1,urine_marking,4.0
17,5.2,5,1010.0,pilot_3,CD1,urine_marking,2.0
18,5.3,5,990.0,pilot_3,CD1,urine_marking,3.0
19,5.4,5,1028.9,pilot_3,CD1,urine_marking,1.0
20,6.1,6,990.0,pilot_3,CD1,urine_marking,3.0
21,6.2,6,971.1,pilot_3,CD1,urine_marking,4.0
22,6.3,6,1028.9,pilot_3,CD1,urine_marking,1.0
23,6.4,6,1010.0,pilot_3,CD1,urine_marking,2.0
